Variate000,Variate001,Variate002,Variate003,Variate004,Variate005
0.00903679058187107,0.351977355755365,0.00960241404627108,0.366846280088346,0.00812613272704218,0.336158302307895
0.010662203595821,0.352229768457426,0.0113629831577299,0.374908340809223,0.00961428988619661,0.336680555148171
0.00839421791767253,0.293933559307242,0.00892499386237703,0.312577192257142,0.00755994182118517,0.280906227190459
0.0099588695200825,0.315222512682646,0.0106108599884979,0.334231159704814,0.00902640563617992,0.301360457814817
0.00850334612359989,0.300647302579998,0.00906237819571047,0.30991600001087,0.00765530162003486,0.287176845423622
0.00965136904601357,0.288089970705057,0.0102812397387093,0.305010488481608,0.00869811781258703,0.275451637065437
0.0096146210512499,0.323398916927853,0.0102090264764648,0.344411842549964,0.0086255928559053,0.309099289078694
0.0107533498057888,0.312470243860919,0.0114512378183628,0.333015560606287,0.00971154375580175,0.298358983329565
0.0100495453348447,0.37346547259341,0.0106921067663467,0.389047651024358,0.00903926259808641,0.356611911660346
0.008565747586253,0.308897859856776,0.00911518043897283,0.321794718859967,0.00771800325388555,0.295327648868647
0.010382981484588,0.451117741034016,0.0110752230657463,0.478986876747083,0.00941076798080583,0.431135147264457
0.00890363064193289,0.320240207194435,0.00946037430799241,0.336324348656015,0.00797728532787284,0.305853752215797
0.0095359988817615,0.404244673622394,0.0101154705281579,0.423274099076989,0.00850806461141382,0.386709855781211
0.0104264305627594,0.393569876729609,0.011124760948965,0.409987380633038,0.0094656408977711,0.375469434641566
0.00881904500177957,0.336859044588994,0.00938367220151604,0.351832959917111,0.00792973709145459,0.322337049118865
0.0112335058512883,0.327255551873309,0.011902504322815,0.348137174708812,0.0100659788468642,0.313148531784529
0.00927553227252572,0.336123099691153,0.009860101264196,0.353769533806415,0.00831844879679523,0.32159501708377
0.0119204473734899,0.294594076124462,0.012672719369231,0.307965016264863,0.0107675374330007,0.281423486467594
0.0100566974265192,0.388586287933133,0.0106968827696839,0.412889430376967,0.00905201197969095,0.371785040859821
0.00913384602752442,0.359635010651073,0.00971713187191158,0.380553731397445,0.00822431575647999,0.343787041590844
0.00874212519991189,0.328433315381455,0.00928878136537222,0.341652718648802,0.00786989461961429,0.314124167396747
0.00921398718751549,0.326669319550044,0.00981224251038832,0.343501463951038,0.00832211021719741,0.31221869755923
0.012461856004856,0.350768975036909,0.0132107162678655,0.370790812659387,0.0111193800512168,0.335356274117324
0.0118082793802596,0.372129125824384,0.0125554700661756,0.382324490193103,0.0106138446569594,0.355483372349124
0.00890537326785792,0.299228833027509,0.00949382036498919,0.31317850287333,0.00804570972387349,0.286229134687216
0.0088302523782763,0.313234216526921,0.0093994925718518,0.332585699966667,0.00797216852876307,0.299365313685644
0.0083434698963126,0.328216302143328,0.00888900065374986,0.347024374213458,0.00753633121804464,0.313803499534443
0.00922157276908049,0.322626899241981,0.00979977355561541,0.348367205130173,0.0082678927132977,0.308555746186747
0.00903297797886955,0.380298729597771,0.00961839020489021,0.404243710291762,0.00811642209598396,0.363463322204449
0.00956472393870156,0.266058005696187,0.010179278982409,0.281490901047718,0.00861021122297748,0.254515742707197
0.0116076412174828,0.285078652953355,0.0123479182597337,0.301362546742494,0.010505627048138,0.272319735746097
0.00975089969201476,0.414511183236779,0.0103645156685487,0.434497287325153,0.00876381381486853,0.396616167881815
0.00946631120068207,0.323522883820508,0.0100500408514645,0.341758769095351,0.00848884769370127,0.309394411282862
0.00962362789753595,0.330781372324988,0.0102323495490768,0.345626093273329,0.00867655673812868,0.316352631473775
0.00871745858855752,0.278700535451567,0.00930185189821304,0.290700697778765,0.00789209358535595,0.266139515412517
